stem;ind3sg;ind3pl;prescont3sg;prescont3pl
deterge;deterges;deterge;is deterging;are deterging
wolf;wolfs;wolf;is wolfing;are wolfing
impede;impedes;impede;is impeding;are impeding
utter;utters;utter;is uttering;are uttering
anger;angers;anger;is angering;are angering
read;reads;read;is reading;are reading
vilify;vilifies;vilify;is vilifying;are vilifying
upgrade;upgrades;upgrade;is upgrading;are upgrading
matriculate;matriculates;matriculate;is matriculating;are matriculating
intensify;intensifies;intensify;is intensifying;are intensifying
unarm;unarms;unarm;is unarming;are unarming
mislike;mislikes;mislike;is misliking;are misliking
waxen;waxens;waxen;is waxening;are waxening
reason;reasons;reason;is reasoning;are reasoning
barter;barters;barter;is bartering;are bartering
ask;asks;ask;is asking;are asking
inform;informs;inform;is informing;are informing
uncurl;uncurls;uncurl;is uncurling;are uncurling
straightarm;straightarms;straightarm;is straightarming;are straightarming
evict;evicts;evict;is evicting;are evicting
unswear;unswears;unswear;is unswearing;are unswearing
vesicate;vesicates;vesicate;is vesicating;are vesicating
disaccustom;disaccustoms;disaccustom;is disaccustoming;are disaccustoming
bugle;bugles;bugle;is bugling;are bugling
free;frees;free;is freeing;are freeing
restring;restrings;restring;is restringing;are restringing
till;tills;till;is tilling;are tilling
fetch;fetches;fetch;is fetching;are fetching
hypnotize;hypnotizes;hypnotize;is hypnotizing;are hypnotizing
procure;procures;procure;is procuring;are procuring
propel;propels;propel;is propelling;are propelling
nip;nips;nip;is nipping;are nipping
worsen;worsens;worsen;is worsening;are worsening
entomb;entombs;entomb;is entombing;are entombing
journalize;journalizes;journalize;is journalizing;are journalizing
enjoin;enjoins;enjoin;is enjoining;are enjoining
spatter;spatters;spatter;is spattering;are spattering
overrate;overrates;overrate;is overrating;are overrating
institute;institutes;institute;is instituting;are instituting
lout;louts;lout;is louting;are louting
traverse;traverses;traverse;is traversing;are traversing
snore;snores;snore;is snoring;are snoring
screen;screens;screen;is screening;are screening
intussuscept;intussuscepts;intussuscept;is intussuscepting;are intussuscepting
banter;banters;banter;is bantering;are bantering
knoll;knolls;knoll;is knolling;are knolling
writhen;writhens;writhen;is writhening;are writhening
ope;opes;ope;is oping;are oping
dote;dotes;dote;is doting;are doting
analogize;analogizes;analogize;is analogizing;are analogizing
interlineate;interlines;interlineate;is interlining;are interlining
rasp;rasps;rasp;is rasping;are rasping
blight;blights;blight;is blighting;are blighting
ascribe;ascribes;ascribe;is ascribing;are ascribing
bloom;blooms;bloom;is blooming;are blooming
blacken;blackens;blacken;is blacking;are blacking
duplicate;duplicates;duplicate;is duplicating;are duplicating
quantify;quantifies;quantify;is quantifying;are quantifying
adjourn;adjourns;adjourn;is adjourning;are adjourning
enslave;enslaves;enslave;is enslaving;are enslaving
declassify;declassifies;declassify;is declassifying;are declassifying
consume;consumes;consume;is consuming;are consuming
wafer;wafers;wafer;is wafering;are wafering
jaundice;jaundices;jaundice;is jaundicing;are jaundicing
shrinkwrap;shrinkwraps;shrinkwrap;is shrinkwrapping;are shrinkwrapping
estreat;estreats;estreat;is estreating;are estreating
scum;scums;scum;is scumming;are scumming
tamper;tampers;tamper;is tampering;are tampering
shock;shocks;shock;is shocking;are shocking
yawn;yawns;yawn;is yawning;are yawning
criminate;criminates;criminate;is criminating;are criminating
heel;heels;heel;is heeling;are heeling
squash;squashes;squash;is squashing;are squashing
steal;steals;steal;is stealing;are stealing
preachify;preachifies;preachify;is preachifying;are preachifying
recapitulate;recapitulates;recapitulate;is recapitulating;are recapitulating
doublecross;doublecrosses;doublecross;is doublecrossing;are doublecrossing
waddle;waddles;waddle;is waddling;are waddling
prefer;prefers;prefer;is preferring;are preferring
uphold;upholds;uphold;is upholding;are upholding
deed;deeds;deed;is deeding;are deeding
defray;defrays;defray;is defraying;are defraying
pollard;pollards;pollard;is pollarding;are pollarding
diddle;diddles;diddle;is diddling;are diddling
sectionalize;sectionalizes;sectionalize;is sectionalizing;are sectionalizing
slate;slates;slate;is slating;are slating
quench;quenches;quench;is quenching;are quenching
speak;speaks;speak;is speaking;are speaking
convolute;convolutes;convolute;is convoluting;are convoluting
extrude;extrudes;extrude;is extruding;are extruding
scribe;scribes;scribe;is scribing;are scribing
revamp;revamps;revamp;is revamping;are revamping
ward;wards;ward;is warding;are warding
resume;resumes;resume;is resuming;are resuming
crawl;crawls;crawl;is crawling;are crawling
overmaster;overmasters;overmaster;is overmastering;are overmastering
relapse;relapses;relapse;is relapsing;are relapsing
culminate;culminates;culminate;is culminating;are culminating
calcify;calcifies;calcify;is calcifying;are calcifying
annihilate;annihilates;annihilate;is annihilating;are annihilating
apprentice;apprentices;apprentice;is apprenticing;are apprenticing
opaque;opaques;opaque;is opaquing;are opaquing
guy;guys;guy;is guying;are guying
resort;resorts;resort;is resorting;are resorting
precontract;precontracts;precontract;is precontracting;are precontracting
disembarrass;disembarrasses;disembarrass;is disembarrassing;are disembarrassing
launch;launches;launch;is launching;are launching
swagger;swaggers;swagger;is swaggering;are swaggering
jollify;jollifies;jollify;is jollifying;are jollifying
cauterize;cauterizes;cauterize;is cauterizing;are cauterizing
corkscrew;corkscrews;corkscrew;is corkscrewing;are corkscrewing
marinate;marinates;marinate;is marinating;are marinating
scale;scales;scale;is scaling;are scaling
carp;carps;carp;is carping;are carping
botanize;botanizes;botanize;is botanizing;are botanizing
munch;munches;munch;is munching;are munching
cuckoo;cuckoos;cuckoo;is cuckooing;are cuckooing
occur;occurs;occur;is occurring;are occurring
whap;whaps;whap;is whaping;are whaping
infest;infests;infest;is infesting;are infesting
wanna;wannas;wanna;is wannaing;are wannaing
relay;relays;relay;is relaying;are relaying
stopper;stoppers;stopper;is stoppering;are stoppering
baize;baizes;baize;is baizing;are baizing
sideline;sidelines;sideline;is sidelining;are sidelining
brag;brags;brag;is bragging;are bragging
dine;dines;dine;is dining;are dining
ballyrag;ballyrags;ballyrag;is ballyragging;are ballyragging
rivet;rivets;rivet;is riveting;are riveting
founder;founders;founder;is foundering;are foundering
dirty;dirties;dirty;is dirtying;are dirtying
reconcile;reconciles;reconcile;is reconciling;are reconciling
ape;apes;ape;is aping;are aping
apocopate;apocopates;apocopate;is apocopating;are apocopating
plenish;plenishes;plenish;is plenishing;are plenishing
copyread;copyreads;copyread;is copyreading;are copyreading
entangle;entangles;entangle;is entangling;are entangling
mar;mars;mar;is marring;are marring
nudge;nudges;nudge;is nudging;are nudging
take;takes;take;is taking;are taking
undress;undresses;undress;is undressing;are undressing
interpenetrate;interpenetrates;interpenetrate;is interpenetrating;are interpenetrating
crossruff;crossruffs;crossruff;is crossruffing;are crossruffing
regiment;regiments;regiment;is regimenting;are regimenting
overgrow;overgrows;overgrow;is overgrowing;are overgrowing
disgruntle;disgruntles;disgruntle;is disgruntling;are disgruntling
chuck;chucks;chuck;is chucking;are chucking
globe;globes;globe;is globing;are globing
disadvantage;disadvantages;disadvantage;is disadvantaging;are disadvantaging
bullyrag;bullyrags;bullyrag;is bullyragging;are bullyragging
wisp;wisps;wisp;is wisping;are wisping
reread;rereads;reread;is rereading;are rereading
condition;conditions;condition;is conditioning;are conditioning
apprehend;apprehends;apprehend;is apprehending;are apprehending
petition;petitions;petition;is petitioning;are petitioning
supinate;supinates;supinate;is supinating;are supinating
rekindle;rekindles;rekindle;is rekindling;are rekindling
default;defaults;default;is defaulting;are defaulting
spool;spools;spool;is spooling;are spooling
unmuzzle;unmuzzles;unmuzzle;is unmuzzling;are unmuzzling
confute;confutes;confute;is confuting;are confuting
hush;hushes;hush;is hushing;are hushing
window;windows;window;is windowing;are windowing
vitrify;vitrifies;vitrify;is vitrifying;are vitrifying
dovetail;dovetails;dovetail;is dovetailing;are dovetailing
intubate;intubates;intubate;is intubating;are intubating
stuff;stuffs;stuff;is stuffing;are stuffing
discomfit;discomfits;discomfit;is discomfiting;are discomfiting
overcall;overcalls;overcall;is overcalling;are overcalling
bet;bets;bet;is betting;are betting
outdistance;outdistances;outdistance;is outdistancing;are outdistancing
enter;enters;enter;is entering;are entering
blether;blethers;blether;is blethering;are blethering
exhilarate;exhilarates;exhilarate;is exhilarating;are exhilarating
park;parks;park;is parking;are parking
bias;biases;bias;is biassing;are biassing
guise;guises;guise;is guising;are guising
dictate;dictates;dictate;is dictating;are dictating
make;makes;make;is making;are making
divorce;divorces;divorce;is divorcing;are divorcing
can;can;can;is canning;are canning
misconceive;misconceives;misconceive;is misconceiving;are misconceiving
mention;mentions;mention;is mentioning;are mentioning
replicate;replicates;replicate;is replicating;are replicating
tiptoe;tiptoes;tiptoe;is tiptoeing;are tiptoeing
copper-bottom;copper-bottoms;copper-bottom;is copper-bottoming;are copper-bottoming
terrify;terrifies;terrify;is terrifying;are terrifying
footle;footles;footle;is footling;are footling
branch;branches;branch;is branching;are branching
dispirit;dispirits;dispirit;is dispiriting;are dispiriting
wail;wails;wail;is wailing;are wailing
rackrent;rackrents;rackrent;is rackrenting;are rackrenting
windowshop;windowshops;windowshop;is windowshopping;are windowshopping
lance;lances;lance;is lancing;are lancing
vaunt;vaunts;vaunt;is vaunting;are vaunting
drat;drats;drat;is dratting;are dratting
engross;engrosses;engross;is engrossing;are engrossing
rootle;rootles;rootle;is rootling;are rootling
photosensitize;photosensitizes;photosensitize;is photosensitizing;are photosensitizing
chitchat;chitchats;chitchat;is chitchatting;are chitchatting
surname;surnames;surname;is surnaming;are surnaming
sky;skies;sky;is skying;are skying
cabbage;cabbages;cabbage;is cabbaging;are cabbaging
straggle;straggles;straggle;is straggling;are straggling
prolapse;prolapses;prolapse;is prolapsing;are prolapsing
catapult;catapults;catapult;is catapulting;are catapulting
blather;blathers;blather;is blathering;are blathering
undock;undocks;undock;is undocking;are undocking
deaden;deadens;deaden;is deadening;are deadening
captain;captains;captain;is captaining;are captaining
burnish;burnishes;burnish;is burnishing;are burnishing
prolong;prolongs;prolong;is prolonging;are prolonging
knock;knocks;knock;is knocking;are knocking
chump;chumps;chump;is chumping;are chumping
cowk;cowks;cowk;is cowking;are cowking
cause;causes;cause;is causing;are causing
saber;sabers;saber;is sabering;are sabering
audition;auditions;audition;is auditioning;are auditioning
classicize;classicizes;classicize;is classicizing;are classicizing
reseat;reseats;reseat;is reseating;are reseating
enlighten;enlightens;enlighten;is enlightening;are enlightening
denaturalize;denaturalizes;denaturalize;is denaturalizing;are denaturalizing
punt;punts;punt;is punting;are punting
overspend;overspends;overspend;is overspending;are overspending
uprear;uprears;uprear;is uprearing;are uprearing
comminute;comminutes;comminute;is comminuting;are comminuting
troat;troats;troat;is troating;are troating
ruralize;ruralizes;ruralize;is ruralizing;are ruralizing
tin;tins;tin;is tinning;are tinning
refute;refutes;refute;is refuting;are refuting
sink;sinks;sink;is sinking;are sinking
chass_e;chass_es;chass_e;is chass_eing;are chass_eing
tipple;tipples;tipple;is tippling;are tippling
surcharge;surcharges;surcharge;is surcharging;are surcharging
flee;flees;flee;is fleeing;are fleeing
commix;commixes;commix;is commixing;are commixing
round;rounds;round;is rounding;are rounding
shear;shears;shear;is shearing;are shearing
traject;trajects;traject;is trajecting;are trajecting
rubber;rubbers;rubber;is rubbering;are rubbering
loft;lofts;loft;is lofting;are lofting
careen;careens;careen;is careening;are careening
calender;calenders;calender;is calendering;are calendering
jut;juts;jut;is jutting;are jutting
jerk;jerks;jerk;is jerking;are jerking
applaud;applauds;applaud;is applauding;are applauding
undergo;undergoes;undergo;is undergoing;are undergoing
denationalize;denationalizes;denationalize;is denationalizing;are denationalizing
navigate;navigates;navigate;is navigating;are navigating
masturbate;masturbates;masturbate;is masturbating;are masturbating
rebel;rebels;rebel;is rebelling;are rebelling
limb;limbs;limb;is limbing;are limbing
company;companies;company;is companying;are companying
admit;admits;admit;is admitting;are admitting
misfire;misfires;misfire;is misfiring;are misfiring
disentail;disentails;disentail;is disentailing;are disentailing
understate;understates;understate;is understating;are understating
debag;debags;debag;is debagging;are debagging
jog;jogs;jog;is jogging;are jogging
police;polices;police;is policing;are policing
tithe;tithes;tithe;is tithing;are tithing
profit;profits;profit;is profiting;are profiting
dew;dews;dew;is dewing;are dewing
smarten;smartens;smarten;is smartening;are smartening
Grecize;Grecizes;Grecize;is Grecizing;are Grecizing
impart;imparts;impart;is imparting;are imparting
battle;battles;battle;is battling;are battling
discommode;discommodes;discommode;is discommoding;are discommoding
blip;blips;blip;is blipping;are blipping
laik;laiks;laik;is laiking;are laiking
hoard;hoards;hoard;is hoarding;are hoarding
cream;creams;cream;is creaming;are creaming
explant;explants;explant;is explanting;are explanting
stagger;staggers;stagger;is staggering;are staggering
heterodyne;heterodynes;heterodyne;is heterodyning;are heterodyning
long;longs;long;is longing;are longing
maintain;maintains;maintain;is maintaining;are maintaining
reserve;reserves;reserve;is reserving;are reserving
imply;implies;imply;is implying;are implying
maladminister;maladministers;maladminister;is maladministering;are maladministering
lug;lugs;lug;is lugging;are lugging
recoil;recoils;recoil;is recoiling;are recoiling
amass;amasses;amass;is amassing;are amassing
wrangle;wrangles;wrangle;is wrangling;are wrangling
scroll;scrolls;scroll;is scrolling;are scrolling
enswathe;enswathes;enswathe;is enswathing;are enswathing
soothe;soothes;soothe;is soothing;are soothing
outflank;outflanks;outflank;is outflanking;are outflanking
scrabble;scrabbles;scrabble;is scrabbling;are scrabbling
anglify;anglifies;anglify;is anglifying;are anglifying
Roneo;Roneos;Roneo;is Roneoing;are Roneoing
upholster;upholsters;upholster;is upholstering;are upholstering
rectify;rectifies;rectify;is rectifying;are rectifying
coast;coasts;coast;is coasting;are coasting
detribalize;detribalizes;detribalize;is detribalizing;are detribalizing
subtilize;subtilizes;subtilize;is subtilizing;are subtilizing
scar;scars;scar;is scarring;are scarring
blob;blobs;blob;is blobbing;are blobbing
hallmark;hallmarks;hallmark;is hallmarking;are hallmarking
overstrain;overstrains;overstrain;is overstraining;are overstraining
stash;stashes;stash;is stashing;are stashing
garrison;garrisons;garrison;is garrisoning;are garrisoning
scumble;scumbles;scumble;is scumbling;are scumbling
target;targets;target;is targeting;are targeting
monitor;monitors;monitor;is monitoring;are monitoring
abstract;abstracts;abstract;is abstracting;are abstracting
underlay;underlays;underlay;is underlaying;are underlaying
callous;callouses;callous;is callousing;are callousing
Nazify;Nazifies;Nazify;is Nazifying;are Nazifying
outbid;outbids;outbid;is outbidding;are outbidding
check;checks;check;is checking;are checking
double-time;double-times;double-time;is double-timing;are double-timing
conquer;conquers;conquer;is conquering;are conquering
throve;throves;throve;is throving;are throving
preach;preaches;preach;is preaching;are preaching
heft;hefts;heft;is hefting;are hefting
compress;compresses;compress;is compressing;are compressing
furbish;furbishes;furbish;is furbishing;are furbishing
think;thinks;think;is thinking;are thinking
collide;collides;collide;is colliding;are colliding
mistake;mistakes;mistake;is mistaking;are mistaking
lap;laps;lap;is lapping;are lapping
dap;daps;dap;is dapping;are dapping
turf;turfs;turf;is turfing;are turfing
re-proof;re-proofs;re-proof;is reproofing;are reproofing
simmer;simmers;simmer;is simmering;are simmering
cuddle;cuddles;cuddle;is cuddling;are cuddling
gelatinize;gelatinizes;gelatinize;is gelatinizing;are gelatinizing
overdye;overdyes;overdye;is overdying;are overdying
disject;disjects;disject;is disjecting;are disjecting
badmouth;badmouths;badmouth;is badmouthing;are badmouthing
repine;repines;repine;is repining;are repining
intend;intends;intend;is intending;are intending
reiterate;reiterates;reiterate;is reiterating;are reiterating
stove;stoves;stove;is stoving;are stoving
mishandle;mishandles;mishandle;is mishandling;are mishandling
expose;exposes;expose;is exposing;are exposing
reindict;reindicts;reindict;is reindicting;are reindicting
infuse;infuses;infuse;is infusing;are infusing
denunciate;denunciates;denunciate;is denunciating;are denunciating
thirl;thirls;thirl;is thirling;are thirling
kite;kites;kite;is kiting;are kiting
intercommunicate;intercommunicates;intercommunicate;is intercommunicating;are intercommunicating
duel;duels;duel;is duelling;are duelling
caway;caways;caway;is cawaying;are cawaying
rappel;rappels;rappel;is rappelling;are rappelling
negotiate;negotiates;negotiate;is negotiating;are negotiating
disembowel;disembowels;disembowel;is disembowelling;are disembowelling
posture;postures;posture;is posturing;are posturing
spring-clean;spring-cleans;spring-clean;is spring-cleaning;are spring-cleaning
disfrock;disfrocks;disfrock;is disfrocking;are disfrocking
bed;beds;bed;is bedding;are bedding
Mace;Maces;Mace;is Maceing;are Maceing
chill;chills;chill;is chilling;are chilling
accuse;accuses;accuse;is accusing;are accusing
extort;extorts;extort;is extorting;are extorting
collogue;collogues;collogue;is colloguing;are colloguing
verse;verses;verse;is versing;are versing
implode;implodes;implode;is imploding;are imploding
flense;flenses;flense;is flensing;are flensing
lecture;lectures;lecture;is lecturing;are lecturing
ooze;oozes;ooze;is oozing;are oozing
dismember;dismembers;dismember;is dismembering;are dismembering
euhemerize;euhemerizes;euhemerize;is euhemerizing;are euhemerizing
turn;turns;turn;is turning;are turning
sprig;sprigs;sprig;is sprigging;are sprigging
advocate;advocates;advocate;is advocating;are advocating
rewrite;rewrites;rewrite;is rewriting;are rewriting
dwarf;dwarfs;dwarf;is dwarfing;are dwarfing
whinge;whinges;whinge;is whinging;are whinging
impinge;impinges;impinge;is impinging;are impinging
roast;roasts;roast;is roasting;are roasting
reignite;reignites;reignite;is reigniting;are reigniting
cramp;cramps;cramp;is cramping;are cramping
materialize;materializes;materialize;is materializing;are materializing
dimidiate;dimidiates;dimidiate;is dimidiating;are dimidiating
unbutton;unbuttons;unbutton;is unbuttoning;are unbuttoning
average;averages;average;is averaging;are averaging
grangerize;grangerizes;grangerize;is grangerizing;are grangerizing
yield;yields;yield;is yielding;are yielding
girdle;girdles;girdle;is girdling;are girdling
chagrin;chagrins;chagrin;is chagrining;are chagrining
grope;gropes;grope;is groping;are groping
fuddle;fuddles;fuddle;is fuddling;are fuddling
disregard;disregards;disregard;is disregarding;are disregarding
satisfy;satisfies;satisfy;is satisfying;are satisfying
photoengrave;photoengraves;photoengrave;is photoengraving;are photoengraving
plot;plots;plot;is plotting;are plotting
helve;helves;helve;is helving;are helving
belay;belays;belay;is belaying;are belaying
briquette;briquettes;briquette;is briquetting;are briquetting
burglarize;burglarizes;burglarize;is burglarizing;are burglarizing
task;tasks;task;is tasking;are tasking
erect;erects;erect;is erecting;are erecting
certify;certifies;certify;is certifying;are certifying
dilapidate;dilapidates;dilapidate;is dilapidating;are dilapidating
unloosen;unlooses;unloosen;is unloosing;are unloosing
controvert;controverts;controvert;is controverting;are controverting
transude;transudes;transude;is transuding;are transuding
stroke;strokes;stroke;is stroking;are stroking
jimmy;jimmies;jimmy;is jimmying;are jimmying
underachieve;underachieves;underachieve;is underachieving;are underachieving
subserve;subserves;subserve;is subserving;are subserving
parody;parodys;parody;is parodying;are parodying
befit;befits;befit;is befitting;are befitting
upraise;upraises;upraise;is upraising;are upraising
moult;moults;moult;is moulting;are moulting
enisle;enisles;enisle;is enisling;are enisling
rerun;reruns;rerun;is rerunning;are rerunning
candy;candies;candy;is candying;are candying
exaggerate;exaggerates;exaggerate;is exaggerating;are exaggerating
understudy;understudies;understudy;is understudying;are understudying
affront;affronts;affront;is affronting;are affronting
neck;necks;neck;is necking;are necking
clapperclaw;clapperclaws;clapperclaw;is clapperclawing;are clapperclawing
winkle;winkles;winkle;is winkling;are winkling
jugulate;jugulates;jugulate;is jugulating;are jugulating
parse;parses;parse;is parsing;are parsing
consolidate;consolidates;consolidate;is consolidating;are consolidating
foreclose;forecloses;foreclose;is foreclosing;are foreclosing
euphemize;euphemizes;euphemize;is euphemizing;are euphemizing
wawa;wawas;wawa;is wawaing;are wawaing
single-tongue;single-tongues;single-tongue;is single-tonguing;are single-tonguing
rotate;rotates;rotate;is rotating;are rotating
ream;reams;ream;is reaming;are reaming
fete;fetes;fete;is feting;are feting
reunite;reunites;reunite;is reuniting;are reuniting
uplift;uplifts;uplift;is uplifting;are uplifting
unplug;unplugs;unplug;is unplugging;are unplugging
peer;peers;peer;is peering;are peering
part;parts;part;is parting;are parting
sporulate;sporulates;sporulate;is sporulating;are sporulating
whisk;whisks;whisk;is whisking;are whisking
mottle;mottles;mottle;is mottling;are mottling
story;stories;story;is storying;are storying
synonymize;synonymizes;synonymize;is synonymizing;are synonymizing
trick;tricks;trick;is tricking;are tricking
formularize;formularizes;formularize;is formularizing;are formularizing
become;becomes;become;is becoming;are becoming
enwind;enwinds;enwind;is enwinding;are enwinding
extradite;extradites;extradite;is extraditing;are extraditing
crevasse;crevasses;crevasse;is crevassing;are crevassing
misbecome;misbecomes;misbecome;is misbecoming;are misbecoming
act;acts;act;is acting;are acting
elevate;elevates;elevate;is elevating;are elevating
supererogate;supererogates;supererogate;is supererogating;are supererogating
compile;compiles;compile;is compiling;are compiling
supervene;supervenes;supervene;is supervening;are supervening
canvass;canvasses;canvass;is canvassing;are canvassing
tattoo;tattoos;tattoo;is tattooing;are tattooing
hoodoo;hoodoos;hoodoo;is hoodooing;are hoodooing
Teletype;Teletypes;Teletype;is Teletyping;are Teletyping
whiten;whitens;whiten;is whitening;are whitening
quell;quells;quell;is quelling;are quelling
territorialize;territorializes;territorialize;is territorializing;are territorializing
cow;cows;cow;is cowing;are cowing
abseil;abseils;abseil;is abseiling;are abseiling
mushroom;mushrooms;mushroom;is mushrooming;are mushrooming
darn;darns;darn;is darning;are darning
foray;forays;foray;is foraying;are foraying
trumpet;trumpets;trumpet;is trumpeting;are trumpeting
extenuate;extenuates;extenuate;is extenuating;are extenuating
re-serve;re-serves;re-serve;is re-serving;are re-serving
chart;charts;chart;is charting;are charting
scruple;scruples;scruple;is scrupling;are scrupling
germinate;germinates;germinate;is germinating;are germinating
rate;rates;rate;is rating;are rating
solfa;solfas;solfa;is solfaing;are solfaing
overfly;overflies;overfly;is overflying;are overflying
admix;admixes;admix;is admixing;are admixing
sleave;sleaves;sleave;is sleaving;are sleaving
appreciate;appreciates;appreciate;is appreciating;are appreciating
poind;poinds;poind;is poinding;are poinding
confront;confronts;confront;is confronting;are confronting
surmise;surmises;surmise;is surmising;are surmising
drab;drabs;drab;is drabbing;are drabbing
disserve;disserves;disserve;is disserving;are disserving
granulate;granulates;granulate;is granulating;are granulating
discontinue;discontinues;discontinue;is discontinuing;are discontinuing
reassure;reassures;reassure;is reassuring;are reassuring
cling;clings;cling;is clinging;are clinging
libel;libels;libel;is libelling;are libelling
orbit;orbits;orbit;is orbiting;are orbiting
feature;features;feature;is featuring;are featuring
fillip;fillips;fillip;is filliping;are filliping
plane-table;plane-tables;plane-table;is plane-tabling;are plane-tabling
gum;gums;gum;is gumming;are gumming
partake;partakes;partake;is partaking;are partaking
sire;sires;sire;is siring;are siring
flameout;flameouts;flameout;is flameouting;are flameouting
unlatch;unlatches;unlatch;is unlatching;are unlatching
meet;meets;meet;is meeting;are meeting
stillhunt;stillhunts;stillhunt;is stillhunting;are stillhunting
foment;foments;foment;is fomenting;are fomenting
cohere;coheres;cohere;is cohering;are cohering
carbonado;carbonados;carbonado;is carbonadoing;are carbonadoing
stargaze;stargazes;stargaze;is stargazing;are stargazing
amerce;amerces;amerce;is amercing;are amercing
aggress;aggresses;aggress;is aggressing;are aggressing
deduce;deduces;deduce;is deducing;are deducing
stiffen;stiffens;stiffen;is stiffening;are stiffening
overprotect;overprotects;overprotect;is overprotecting;are overprotecting
upright;uprights;upright;is uprighting;are uprighting
inquire;inquires;inquire;is inquiring;are inquiring
foxhunt;foxhunts;foxhunt;is foxhunting;are foxhunting
rebate;rebates;rebate;is rebating;are rebating
test;tests;test;is testing;are testing
discant;discants;discant;is discanting;are discanting
implant;implants;implant;is implanting;are implanting
cross;crosses;cross;is crossing;are crossing
versify;versifies;versify;is versifying;are versifying
shall;shalls;shall;is shalling;are shalling
factorize;factorizes;factorize;is factorizing;are factorizing
slouch;slouches;slouch;is slouching;are slouching
thicken;thickens;thicken;is thickening;are thickening
fuel;fuels;fuel;is fuelling;are fuelling
besprinkle;besprinkles;besprinkle;is besprinkling;are besprinkling
sponsor;sponsors;sponsor;is sponsoring;are sponsoring
clutch;clutches;clutch;is clutching;are clutching
worrit;worrits;worrit;is worriting;are worriting
spiral;spirals;spiral;is spiralling;are spiralling
untangle;untangles;untangle;is untangling;are untangling
acquiesce;acquiesces;acquiesce;is acquiescing;are acquiescing
recompose;recomposes;recompose;is recomposing;are recomposing
participate;participates;participate;is participating;are participating
waggon;waggon;waggon;is waggoning;are waggoning
emplane;emplanes;emplane;is emplaning;are emplaning
appeal;appeals;appeal;is appealing;are appealing
gib;gibs;gib;is gibbing;are gibbing
cloud;clouds;cloud;is clouding;are clouding
traumatize;traumatizes;traumatize;is traumatizing;are traumatizing
unriddle;unriddles;unriddle;is unriddling;are unriddling
enliven;enlivens;enliven;is enlivening;are enlivening
cutinize;cutinizes;cutinize;is cutinizing;are cutinizing
cloak;cloaks;cloak;is cloaking;are cloaking
imperil;imperils;imperil;is imperiling;are imperiling
heroworship;heroworships;heroworship;is heroworshipping;are heroworshipping
baulk;baulks;baulk;is baulking;are baulking
grit;grits;grit;is gritting;are gritting
shoulder;shoulders;shoulder;is shouldering;are shouldering
unfasten;unfastens;unfasten;is unfastening;are unfastening
gurgle;gurgles;gurgle;is gurgling;are gurgling
countersink;countersinks;countersink;is countersinking;are countersinking
narcotize;narcotizes;narcotize;is narcotizing;are narcotizing
react;reacts;react;is reacting;are reacting
squirt;squirts;squirt;is squirting;are squirting
disfranchise;disfranchises;disfranchise;is disfranchising;are disfranchising
admonish;admonishes;admonish;is admonishing;are admonishing
pep;peps;pep;is pepping;are pepping
blazon;blazons;blazon;is blazoning;are blazoning
comment;comments;comment;is commenting;are commenting
trench;trenches;trench;is trenching;are trenching
sniffle;sniffles;sniffle;is sniffling;are sniffling
climb;climbs;climb;is climbing;are climbing
gallant;gallants;gallant;is gallanting;are gallanting
drizzle;drizzles;drizzle;is drizzling;are drizzling
crescendo;crescendoes;crescendo;is crescendoing;are crescendoing
sinter;sinters;sinter;is sintering;are sintering
strafe;strafes;strafe;is strafing;are strafing
simulcast;simulcasts;simulcast;is simulcasting;are simulcasting
sate;sates;sate;is sating;are sating
freeload;freeloads;freeload;is freeloading;are freeloading
reemphasize;reemphasizes;reemphasize;is reemphasizing;are reemphasizing
commence;commences;commence;is commencing;are commencing
earn;earns;earn;is earning;are earning
filter;filters;filter;is filtering;are filtering
redirect;redirects;redirect;is redirecting;are redirecting
blot;blots;blot;is blotting;are blotting
greaten;greatens;greaten;is greatening;are greatening
wing;wings;wing;is winging;are winging
braze;brazes;braze;is brazing;are brazing
undercut;undercuts;undercut;is undercutting;are undercutting
stellify;stellifies;stellify;is stellifying;are stellifying
flam;flams;flam;is flamming;are flamming
hob;hobs;hob;is hobbing;are hobbing
frisk;frisks;frisk;is frisking;are frisking
tick;ticks;tick;is ticking;are ticking
prelude;preludes;prelude;is preluding;are preluding
profess;professes;profess;is professing;are professing
do;does;do;is doing;are doing
flutter;flutters;flutter;is fluttering;are fluttering
terrorize;terrorizes;terrorize;is terrorizing;are terrorizing
domineer;domineers;domineer;is domineering;are domineering
cosher;coshers;cosher;is coshering;are coshering
bully;bullies;bully;is bullying;are bullying
proselytize;proselytizes;proselytize;is proselytizing;are proselytizing
sight;sights;sight;is sighting;are sighting
bottle;bottles;bottle;is bottling;are bottling
gotta;gotta;gotta;is gottaing;are gottaing
expedite;expedites;expedite;is expediting;are expediting
sculpture;sculptures;sculpture;is sculpturing;are sculpturing
purge;purges;purge;is purging;are purging
havoc;havocs;havoc;is havocking;are havocking
replevy;replevies;replevy;is replevying;are replevying
withdraw;withdraws;withdraw;is withdrawing;are withdrawing
procreate;procreates;procreate;is procreating;are procreating
toll;tolls;toll;is tolling;are tolling
buffer;buffs;buffer;is buffing;are buffing
misspell;misspells;misspell;is misspelling;are misspelling
salify;salifies;salify;is salifying;are salifying
hunt;hunts;hunt;is hunting;are hunting
wed;weds;wed;is wedding;are wedding
